index,Geography,01-Apr,May-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,<1-9999,"10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-64,999","65,000-74,999",White,Latino,Black,Asian,migration rate,migration st. dev. ,unemployment rate,unemployment st. dev.,birth rate,birth st. dev,death rate,death st. dev.,01-Apr,May-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,<1-9999,"10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-64,999","65,000-74,999",White,Latino,Black,Asian,Initial Population,Initial Amenities,Population Density,prop_of_pop_modeled,emp_density,world_side_size,prop_tertiary_job,prop_tertiary_people,pareto_alpha,job_1_amenity_effect,job_1_price_effect,job_2_amenity_effect,job_2_price_effect,vacant_amenity_effect,vacant_price_effect,hood_price_effect,hood_amenities_effect,real_modeled_population
21,"Bloomington, IN Urbanized Area",0.03949823,0.154008817,0.26600617,0.532893268,0.633703642,0.708134029,0.764288163,0.81704415,0.867065675,0.913011416,0.960633311,0.382852504,0.481919949,0.626199319,0.732437904,0.830408087,0.892362111,0.916494802,0.819038852,0.8434693,0.880649125,0.954797995,0.004778595,0.001864804,0.075,0.004898979,0.009037777,0.000119917,0.00597938,0.000116069,0.024915616,0.08034015,0.289771764,0.725192134,0.83926643,0.890976624,0.923979525,0.943238885,0.964832419,0.977544468,0.992871567,0.594466088,0.691297279,0.816810332,0.887468941,0.932010184,0.96164913,0.972127979,0.781043368,0.809557416,0.854668347,0.959516682,400,57,2240,0.003986089,44,7,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,100349
22,"Bloomington--Normal, IL Urbanized Area",0.056221416,0.228926976,0.291628166,0.462537403,0.543628807,0.622136641,0.694201395,0.756182054,0.819231834,0.885912622,0.946217047,0.246039748,0.332459501,0.466033597,0.580660405,0.699381392,0.795586435,0.838469388,0.764911057,0.803832572,0.902283046,0.96143327,-0.005419848,0.006898702,0.0548,0.010166612,0.011930718,0.000381213,0.006610432,0.000245275,0.051833185,0.140126494,0.297317787,0.6451982,0.773770331,0.8475189,0.890345859,0.915904448,0.94661547,0.968102656,0.98900019,0.438967783,0.540348756,0.674435562,0.779080004,0.85808798,0.908187129,0.938447584,0.72918385,0.76077191,0.877035603,0.961520371,400,29,2438,0.00333578,44,7,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,119912
23,"Boise City, ID Urbanized Area",0.061955938,0.276600475,0.305964073,0.381578351,0.465518794,0.548004161,0.627324753,0.708481113,0.785779006,0.86346256,0.934594855,0.187902671,0.281906486,0.445840318,0.582777659,0.723555325,0.819118886,0.858767762,0.851880082,0.912240052,0.92441017,0.952506234,0.015790507,0.004003813,0.0648,0.014161921,0.011826155,0.000383056,0.006137711,0.000190936,0.069799719,0.237238352,0.289902038,0.464577248,0.600764973,0.710540161,0.790123138,0.839985152,0.887184287,0.929683844,0.964336782,0.253882786,0.377259932,0.583165069,0.711503376,0.829661143,0.892018541,0.914144813,0.802503867,0.863066749,0.889043148,0.927474943,400,57,2406,0.001242062,44,12,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,322045
24,"Bonita Springs, FL Urbanized Area",0.051175696,0.23153294,0.256305479,0.322594931,0.39436453,0.463933865,0.532973646,0.60614265,0.693639468,0.785180669,0.883223833,0.157802429,0.257883067,0.439010529,0.574980865,0.704538808,0.793135467,0.826170134,0.709633053,0.895037514,0.949282212,0.962397392,0.025484478,0.003584193,0.0714,0.018990524,0.009355884,0.000191121,0.009661406,0.000213317,0.067491277,0.2237278,0.250666484,0.346880268,0.458320265,0.549711844,0.628548046,0.692554985,0.777188615,0.84745364,0.924344298,0.19137462,0.284914335,0.463334447,0.611184465,0.744377807,0.82325024,0.853284761,0.640551935,0.863158962,0.924541842,0.94885475,400,86,1147,0.001864628,44,14,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,214520
25,"Boulder, CO Urbanized Area",0.033341018,0.156308449,0.247870287,0.456347864,0.5520018,0.627539201,0.692875177,0.756712638,0.820698836,0.884335504,0.945657469,0.272223329,0.35483235,0.47653766,0.579543662,0.681987232,0.763919674,0.800139467,0.829142128,0.893457209,0.903157542,0.948110102,0.00762356,0.004229156,0.0648,0.008565045,0.009234882,0.000328878,0.005555082,0.000172824,0.017985338,0.065391543,0.274533878,0.646700997,0.778782882,0.849557343,0.895487177,0.925009513,0.950589787,0.970888613,0.988118008,0.450317372,0.546880393,0.676988329,0.772012753,0.854827859,0.904893673,0.922795215,0.823441026,0.875671412,0.890866796,0.940755975,400,86,3311,0.003718405,44,6,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,107573
26,"Bremerton, WA Urbanized Area",0.055391381,0.239139678,0.268874753,0.374314954,0.46579218,0.543077932,0.614427506,0.681554619,0.756063088,0.840837378,0.923912083,0.1765911,0.258270818,0.414655623,0.543391152,0.683323336,0.793215177,0.842259435,0.761135928,0.805989149,0.836475042,0.889651131,0.00652997,0.008904919,0.0792,0.013905395,0.011716377,0.00034417,0.008433046,0.000212668,0.07245213,0.22870213,0.266588611,0.473744198,0.61578353,0.713237732,0.790197074,0.84397277,0.892707643,0.932909897,0.969796502,0.219594044,0.306593392,0.50526466,0.646119776,0.784998098,0.87187517,0.906486061,0.729020286,0.779780936,0.820073152,0.867430827,400,71,1244,0.002355629,44,12,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,169806
27,"Bridgeport--Stamford, CT--NY Urbanized Area",0.056326882,0.267071238,0.299138174,0.368169169,0.436300481,0.506436181,0.579674679,0.664618369,0.756580944,0.849433379,0.931675503,0.171116299,0.248937721,0.386308297,0.492267514,0.609221722,0.700874515,0.745871236,0.642425489,0.745383058,0.858264457,0.906754765,-0.001099786,0.001551833,0.0904,0.009024411,0.0104818,0.000124354,0.007877694,0.000138091,0.078743237,0.239609444,0.279435381,0.395896913,0.537908911,0.659077576,0.747801988,0.81949144,0.879789354,0.930311524,0.971249553,0.203223546,0.287780574,0.439120533,0.549688369,0.658613111,0.747409271,0.794490986,0.511878704,0.64279939,0.781408545,0.859824742,400,61,1703,0.000503742,44,22,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,794058
28,"Brownsville, TX Urbanized Area",0.084023578,0.359495035,0.397986249,0.487255044,0.556592622,0.62804669,0.701134896,0.774918824,0.83992432,0.902761753,0.955734699,0.29678809,0.452483841,0.658626523,0.771198068,0.869386472,0.930823374,0.948645086,0.055050686,0.928600237,0.932541815,0.939601129,-0.006685361,0.001275132,0.1022,0.011142711,0.017260382,0.000413501,0.006156136,0.000252719,0.120052482,0.390762811,0.433258619,0.535543771,0.648234201,0.735275895,0.808787084,0.868102631,0.907764779,0.944720825,0.982150667,0.289143995,0.449389317,0.669112893,0.784172913,0.896297461,0.944610438,0.96021387,0.061450059,0.924783335,0.932976102,0.945803684,400,71,2426,0.002022449,44,9,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,197780
29,"Buffalo, NY Urbanized Area",0.053170958,0.239975065,0.275734312,0.367610859,0.454875909,0.528866096,0.594419879,0.665859091,0.74660576,0.836432926,0.925230737,0.198876503,0.301867459,0.466452749,0.599973332,0.744772665,0.844737699,0.886999321,0.759775946,0.780696296,0.922108422,0.953680335,-9.99E-05,0.001295469,0.0734,0.011182129,0.010735703,0.000144403,0.010542018,0.000126621,0.066301283,0.207329987,0.281000378,0.454917347,0.624843185,0.721901749,0.779205122,0.832718614,0.879248569,0.929367156,0.970916662,0.284502019,0.400865865,0.566971367,0.704053104,0.830736297,0.908323394,0.934402546,0.640987455,0.669791156,0.849586516,0.92044467,400,43,2032,0.000518175,44,19,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,771940
30,"Burlington, NC Urbanized Area",0.065400593,0.26546887,0.309831953,0.40084618,0.475264767,0.554575932,0.626888658,0.705743361,0.785489891,0.862798762,0.936461694,0.196243185,0.318404417,0.512217511,0.664069328,0.802677031,0.886946409,0.916870523,0.600191831,0.650569325,0.872727892,0.889046494,0.006714341,0.001424463,0.079,0.015861904,0.011164177,0.000211945,0.008005468,0.000155024,0.082367885,0.26682508,0.347156216,0.492641423,0.626059438,0.715238387,0.800869451,0.852390443,0.890256455,0.928878036,0.969788222,0.262902217,0.406986998,0.61302166,0.769996633,0.886216793,0.951228897,0.967646257,0.551295869,0.600472158,0.852861175,0.87978445,400,43,1153,0.003835827,44,10,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,104280
31,"Canton, OH Urbanized Area",0.057041744,0.258697188,0.287450008,0.364877735,0.438969446,0.513138473,0.580674127,0.657774138,0.738544032,0.826449853,0.920142086,0.208597861,0.319202143,0.506353536,0.648955224,0.787576584,0.876141583,0.912944782,0.852999909,0.867158597,0.953306254,0.962788612,-0.000784171,0.001177081,0.087,0.012601587,0.01122182,0.00011716,0.01049013,0.000218907,0.085261225,0.247924116,0.301087139,0.463402049,0.60804195,0.708698313,0.769198925,0.829087571,0.875188989,0.924158247,0.965741918,0.290461026,0.410975433,0.628200722,0.762690249,0.871299075,0.938234553,0.957219333,0.766281882,0.793194811,0.918128848,0.929012753,400,29,1368,0.001757184,44,13,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,227637
